id,name,brand,category,price,rating,review_count,description,source
18,LG C3 OLED 55-inch,LG,electronics,139990,4.9,2341,"55-inch OLED evo television with 4K resolution, 120Hz refresh rate, α9 AI Processor Gen6, Dolby Vision IQ, Dolby Atmos, and gaming features including G-Sync.",amazon.in
19,Sony Bravia XR A95L,Sony,electronics,249990,4.8,892,"OLED 4K TV with XR Cognitive Processor, Triluminos Pro display, 120Hz, HDMI 2.1, and exclusive Bravia sound system.",amazon.in
20,Godrej Edge Pro Refrigerator,Godrej,home & kitchen,38990,4.3,1567,"507L frost-free double door refrigerator with inverter compressor, Freshield technology, 6-in-1 convertible freezer, and 10-year compressor warranty.",flipkart.com
21,Whirlpool 1.5-ton Split AC,Whirlpool,home & kitchen,42990,4.4,2134,"5-star rated 1.5-ton split air conditioner with inverter technology, 6th sense active cool technology, auto restart, self-cleaning, and 10-year compressor warranty.",amazon.in
22,Philips Air Purifier AC2887,Philips,home & kitchen,24999,4.5,897,"HEPA air purifier covering 400 sq ft, removes 99.97% particles, real-time feedback display, 3-speed settings, and auto mode for intelligent purification.",amazon.in
23,Instant Pot Duo 7-in-1,Instant Pot,home & kitchen,8999,4.6,5621,"7-in-1 electric pressure cooker combines pressure cooker, slow cooker, rice cooker, steamer, sauté, yogurt maker, and food warmer in one appliance.",amazon.in
24,Dyson V15 Detect,Dyson,home & kitchen,65900,4.7,1234,"Cordless vacuum cleaner with laser dust detection, 60-minute runtime, HEPA filtration, and intelligent suction adjustment based on dust levels.",amazon.in
25,Nike Air Max 270,Nike,clothing,9995,4.4,8932,"Men's lifestyle shoe featuring Max Air heel unit, breathable mesh upper, foam midsole, and rubber outsole for all-day comfort and style.",myntra.com
26,Adidas Ultraboost 23,Adidas,clothing,15000,4.6,4231,"Running shoe with Linear Energy Push midsole, Primeknit upper, Continental rubber outsole, and responsive BOOST midsole cushioning.",myntra.com
27,Levi's 501 Original Jeans,Levis,clothing,3999,4.5,12034,"Classic straight fit jeans in rigid denim, button fly, 5-pocket styling, and the original blue jeans since 1873. Available in multiple washes.",myntra.com
28,Raymond Slim Fit Suit,Raymond,clothing,12999,4.3,876,"Premium slim fit suit in super 110s wool blend, half-canvassed construction, 2-button single breasted jacket, and flat-front trousers.",amazon.in
29,Titan Raga Watch,Titan,clothing,12495,4.7,3421,"Women's fashion watch with 34mm rose gold-tone stainless steel case, mother-of-pearl dial, sapphire crystal glass, and leather strap.",amazon.in
30,Noise ColorFit Pro 4,Noise,electronics,3499,4.2,6789,"Smartwatch with 1.72-inch TFT display, 100+ sports modes, SpO2 monitoring, Bluetooth calling, 7-day battery life, and IP68 water resistance.",flipkart.com
